scenario_id,context_family,rater_id,rating_status,rating_pass,monotonic_ok,dual_feasible_ok,advantage_direction_at_positive,rung_minus2,rung_minus1,rung_zero,rung_plus1,rung_plus2,notes,limitations
mech_component,0,claude-fable-5-agent,agent_dual_code_provisional,1,1,1,sem_a,A {project} release is fully stalled until outgoing records can be written at all.,An export integration is waiting on sample serialized output to develop against.,The two components for {module} are independently ready to begin.,A sample of incoming records cannot be inspected until basic reading support exists.,Two downstream {project} teams are fully stalled until incoming records can be read at all.,constraint-based; +2 amplifies +1's pressure source; both options executable at every rung,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
mech_component,1,claude-fable-5-agent,agent_dual_code_provisional,1,1,1,sem_a,A backlog of export requests is piling up from partners with nothing able to write them.,Partner systems asked for sample output files and none have been writable yet.,Input and output volumes for {module} are both normal this week.,Fresh input files from the {feed} arrived and none have been readable yet.,A backlog of unread input files is piling up at the {feed} with nothing able to read them.,constraint-based; +2 amplifies +1's pressure source; both options executable at every rung,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
mech_component,2,claude-fable-5-agent,agent_dual_code_provisional,1,1,1,sem_a,"Thursday's demo shows live export, which cannot run without the writing path.",Thursday's demo would land better showing records being written out live.,Thursday's demo covers the {module} roadmap at a high level.,Thursday's demo would land better showing records being read in live.,"Thursday's demo shows live ingestion, which cannot run without the reading path.",constraint-based; +2 amplifies +1's pressure source; both options executable at every rung,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
mech_component,3,claude-fable-5-agent,agent_dual_code_provisional,1,1,1,sem_a,The downstream data contract freezes Friday; writing must exercise it before then to surface objections.,The downstream data contract review would go faster with a working writer against it.,The upstream and downstream data contracts are both stable this quarter.,The upstream data contract review would go faster with a working reader against it.,The upstream data contract freezes Friday; reading must exercise it before then to surface objections.,constraint-based; +2 amplifies +1's pressure source; both options executable at every rung,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
mech_docsection,0,claude-fable-5-agent,agent_dual_code_provisional,1,1,1,sem_a,Operators of {project} are stuck at rollout: several required settings keys have no definition anywhere in the repository.,Operators of {project} keep landing on the settings page that lacks definitions for several keys.,Both sections are wanted by readers of the {project} repository this week.,New users of {project} keep landing on the repository page that lacks a worked invocation example.,First-time users of {project} are stuck at the door: the repository contains no worked invocation example at all.,constraint-based; +2 amplifies +1's pressure source; both options executable at every rung,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
mech_docsection,1,claude-fable-5-agent,agent_dual_code_provisional,1,1,1,sem_a,Three of the four open {project} tickets ask for a table of adjustable settings and sit marked waiting-on-docs.,One open {project} ticket asks for a table of the adjustable settings to consult.,"The open {project} tickets touch documentation generally, with no section named.",One open {project} ticket asks for a runnable first example to follow along with.,Three of the four open {project} tickets ask for a runnable first example and sit marked waiting-on-docs.,constraint-based; +2 amplifies +1's pressure source; both options executable at every rung,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
mech_docsection,2,claude-fable-5-agent,agent_dual_code_provisional,1,1,1,sem_a,A live deployment session for {project} runs in one hour and walks straight through the settings keys.,An operations review for {project} is on tomorrow morning's calendar.,The documentation review for {project} is on next month's calendar.,An onboarding walkthrough for {project} is on tomorrow morning's calendar.,A live onboarding session for {project} runs in one hour and walks straight through a first invocation.,constraint-based; +2 amplifies +1's pressure source; both options executable at every rung,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
mech_docsection,3,claude-fable-5-agent,agent_dual_code_provisional,1,1,1,sem_a,This week's {project} readership is almost entirely operators stalled on undocumented deployment keys.,This week's {project} readership leans toward operators tuning their production deployment settings.,This week's {project} readership is evenly split across reader groups.,This week's {project} readership leans toward first-run visitors trying an initial command.,This week's {project} readership is almost entirely first-run visitors arriving without a working command.,constraint-based; +2 amplifies +1's pressure source; both options executable at every rung,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
mech_execmode,0,claude-fable-5-agent,agent_dual_code_provisional,1,1,1,sem_a,A corruption fault must be caught at the exact failing record; live breakpoints are the operative constraint.,An intermittent fault was reported in yesterday's run and merits a midway inspection.,Staffing and data quality are both typical for the {service} window.,"The backlog data is known-clean and repetitive, and staff attention is scarce today.",Nobody is on shift when the {service} window falls tonight; unattended throughput is the operative constraint.,constraint-based; +2 amplifies +1's pressure source; both options executable at every rung,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
mech_execmode,1,claude-fable-5-agent,agent_dual_code_provisional,1,1,1,sem_a,Today's {feed} backlog is dominated by unusual records that each merit examination as they land.,Today's {feed} backlog carries several unusual records worth a midway look.,Today's {feed} backlog matches an ordinary day's mix.,Today's {feed} backlog is mostly validated re-runs with few novel cases.,Today's {feed} backlog is a uniform re-run of validated records with no novel cases at all.,constraint-based; +2 amplifies +1's pressure source; both options executable at every rung,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
