item_id,family,swap_group,entity_group,template,trailing,prompt,relword,subject,target,hard_distractor,easy_distractor,note
capital_of_france,capital_of,country_sem,country,The capital of {X} is,,The capital of France is,capital,France, Paris, Berlin, bigger,
language_of_france,language_of,country_sem,country,The language of {X} is,,The language of France is,language,France, French, German, hive,
continent_of_france,continent_of,country_sem,country,The continent of {X} is,,The continent of France is,continent,France, Europe, Asia, cats,
currency_of_france,currency_of,,country,The currency of {X} is the,the,The currency of France is the,currency,France, euro, yen, February,
capital_of_germany,capital_of,country_sem,country,The capital of {X} is,,The capital of Germany is,capital,Germany, Berlin, Rome, bigger,
language_of_germany,language_of,country_sem,country,The language of {X} is,,The language of Germany is,language,Germany, German, Italian, hive,
continent_of_germany,continent_of,country_sem,country,The continent of {X} is,,The continent of Germany is,continent,Germany, Europe, Asia, cats,
currency_of_germany,currency_of,,country,The currency of {X} is the,the,The currency of Germany is the,currency,Germany, euro, yen, February,
capital_of_italy,capital_of,country_sem,country,The capital of {X} is,,The capital of Italy is,capital,Italy, Rome, Madrid, bigger,
language_of_italy,language_of,country_sem,country,The language of {X} is,,The language of Italy is,language,Italy, Italian, Spanish, hive,
continent_of_italy,continent_of,country_sem,country,The continent of {X} is,,The continent of Italy is,continent,Italy, Europe, Asia, cats,
currency_of_italy,currency_of,,country,The currency of {X} is the,the,The currency of Italy is the,currency,Italy, euro, yen, February,
capital_of_spain,capital_of,country_sem,country,The capital of {X} is,,The capital of Spain is,capital,Spain, Madrid, Tokyo, bigger,
language_of_spain,language_of,country_sem,country,The language of {X} is,,The language of Spain is,language,Spain, Spanish, Japanese, hive,
continent_of_spain,continent_of,country_sem,country,The continent of {X} is,,The continent of Spain is,continent,Spain, Europe, Asia, cats,
currency_of_spain,currency_of,,country,The currency of {X} is the,the,The currency of Spain is the,currency,Spain, euro, yen, February,
capital_of_japan,capital_of,country_sem,country,The capital of {X} is,,The capital of Japan is,capital,Japan, Tokyo, Beijing, bigger,
language_of_japan,language_of,country_sem,country,The language of {X} is,,The language of Japan is,language,Japan, Japanese, Chinese, hive,
continent_of_japan,continent_of,country_sem,country,The continent of {X} is,,The continent of Japan is,continent,Japan, Asia, Europe, cats,
currency_of_japan,currency_of,,country,The currency of {X} is the,the,The currency of Japan is the,currency,Japan, yen, yuan, February,
capital_of_china,capital_of,country_sem,country,The capital of {X} is,,The capital of China is,capital,China, Beijing, Moscow, bigger,
language_of_china,language_of,country_sem,country,The language of {X} is,,The language of China is,language,China, Chinese, Russian, hive,
continent_of_china,continent_of,country_sem,country,The continent of {X} is,,The continent of China is,continent,China, Asia, Europe, cats,
currency_of_china,currency_of,,country,The currency of {X} is the,the,The currency of China is the,currency,China, yuan, pound, February,
capital_of_russia,capital_of,country_sem,country,The capital of {X} is,,The capital of Russia is,capital,Russia, Moscow, Cairo, bigger,
language_of_russia,language_of,country_sem,country,The language of {X} is,,The language of Russia is,language,Russia, Russian, Arabic, hive,
