statement_id,family,statement,label,meta
valneg_p_00,valence_negation,"The wedding was not full of laughter, dancing, or joyful toasts.",0,wedding|ceremony|src=val_p_00
valneg_n_00,valence_negation,The funeral was not heavy with grief or quiet weeping.,1,wedding|ceremony|src=val_n_00
valneg_p_01,valence_negation,The garden did not burst into bloom and was neither fragrant nor humming with bees.,0,garden|garden|src=val_p_01
valneg_n_01,valence_negation,The garden had not withered into dry stalks and brown leaves.,1,garden|garden|src=val_n_01
valneg_p_02,valence_negation,She did not ace the exam and had no celebration with her family.,0,exam|school|src=val_p_02
valneg_n_02,valence_negation,She did not fail the exam and did not dread telling her family.,1,exam|school|src=val_n_02
valneg_p_03,valence_negation,Warm sunshine never broke through to dry the cheerful streets.,0,storm|weather|src=val_p_03
valneg_n_03,valence_negation,The storm did not flood the streets or knock out the power.,1,storm|weather|src=val_n_03
valneg_p_04,valence_negation,"The reunion brought no hugs, no old stories, and no easy laughter.",0,reunion|family|src=val_p_04
valneg_n_04,valence_negation,The argument did not leave the family cold or barely speaking.,1,reunion|family|src=val_n_04
valneg_p_05,valence_negation,"He did not land his dream job, and there was no offer to sign.",0,job|work|src=val_p_05
valneg_n_05,valence_negation,"He was not laid off, and he did not have to clear his desk.",1,job|work|src=val_n_05
valneg_p_06,valence_negation,"The soup was not rich or warming, and the bread was not fresh from the oven.",0,meal|food|src=val_p_06
valneg_n_06,valence_negation,"The soup was not cold or greasy, and the bread was not stale or hard.",1,meal|food|src=val_n_06
valneg_p_07,valence_negation,"The trip did not go perfectly, with not one train on time and not one stunning view.",0,trip|travel|src=val_p_07
valneg_n_07,valence_negation,"The trip did not fall apart, with no missed connections and no lost luggage.",1,trip|travel|src=val_n_07
valneg_p_08,valence_negation,"The team did not clinch the title in the final second, and the crowd did not erupt.",0,team|sports|src=val_p_08
valneg_n_08,valence_negation,"The team did not collapse in the final minutes, and the stands did not empty.",1,team|sports|src=val_n_08
valneg_p_09,valence_negation,"No puppy greeted them at the door, and no tail wagged.",0,puppy|pets|src=val_p_09
valneg_n_09,valence_negation,The old dog's basket did not sit empty by the door.,1,puppy|pets|src=val_n_09
valneg_p_10,valence_negation,"The band played no encore, and the hall did not sing a single word.",0,concert|music|src=val_p_10
valneg_n_10,valence_negation,"The show was not canceled at the door, and the crowd did not shuffle home.",1,concert|music|src=val_n_10
valneg_p_11,valence_negation,The harvest did not come in heavy; the barn was not full and the village was not fed.,0,harvest|farm|src=val_p_11
valneg_n_11,valence_negation,"The drought did not ruin the harvest, and the fields did not crack open.",1,harvest|farm|src=val_n_11
valneg_p_12,valence_negation,The letter brought no wonderful news and no unexpected scholarship.,0,letter|news|src=val_p_12
valneg_n_12,valence_negation,The letter brought no word of any foreclosure on the family home.,1,letter|news|src=val_n_12
valneg_p_13,valence_negation,"Her recovery was not swift, and she did not walk out of the hospital smiling.",0,recovery|health|src=val_p_13
valneg_n_13,valence_negation,"The infection did not worsen, and the doctors were not concerned.",1,recovery|health|src=val_n_13
valneg_p_14,valence_negation,"The launch did not go flawlessly, and the team did not toast past midnight.",0,launch|work|src=val_p_14
valneg_n_14,valence_negation,"The launch did not crash, and the team did not brace for any fallout.",1,launch|work|src=val_n_14
valneg_p_15,valence_negation,"Snow did not cancel school, and the kids did not get to sled all morning.",0,snow_day|weather|src=val_p_15
valneg_n_15,valence_negation,"Sleet did not freeze the roads, and the commute did not take three grim hours.",1,snow_day|weather|src=val_n_15
valneg_p_16,valence_negation,Her painting did not win first prize and did not sell before the show closed.,0,painting|art|src=val_p_16
valneg_n_16,valence_negation,Her painting was not rejected from the show after all.,1,painting|art|src=val_n_16
valneg_p_17,valence_negation,The new neighbors brought no warm bread and never stayed to chat.,0,neighbor|community|src=val_p_17
valneg_n_17,valence_negation,The new neighbors did not slam the door or complain about the fence.,1,neighbor|community|src=val_n_17
valneg_p_18,valence_negation,"Their savings still did not cover the house, not even close.",0,savings|money|src=val_p_18
valneg_n_18,valence_negation,The repair bill did not wipe out everything they had saved.,1,savings|money|src=val_n_18
valneg_p_19,valence_negation,The forest trail never opened onto a bright meadow or any wildflowers.,0,forest|nature|src=val_p_19
valneg_n_19,valence_negation,The forest was not burned and did not stand black or silent.,1,forest|nature|src=val_n_19
valneg_p_20,valence_negation,The baby did not sleep through the night and did not wake up giggling.,0,baby|family|src=val_p_20
valneg_n_20,valence_negation,"The baby did not cry until dawn, and the parents did not sit hollow-eyed.",1,baby|family|src=val_n_20
valneg_p_21,valence_negation,The library did not extend its hours and added no sunny reading room.,0,library|school|src=val_p_21
valneg_n_21,valence_negation,The library did not cut its hours and did not board up the reading room.,1,library|school|src=val_n_21
valneg_p_22,valence_negation,The new bridge did not open early and did not cut the commute at all.,0,bridge|city|src=val_p_22
valneg_n_22,valence_negation,"The bridge did not close for repairs, and traffic did not choke the city.",1,bridge|city|src=val_n_22
valneg_p_23,valence_negation,The orchard did not hang heavy with ripe apples by September.,0,orchard|farm|src=val_p_23
valneg_n_23,valence_negation,Frost in May did not strip the orchard of a single blossom.,1,orchard|farm|src=val_n_23
