item_id,family,setup,joke_completion,literal_completion,surprise_completion,silly_completion,positive_completion,setup_anchor,resolution_keyword,joke_markers,silly_markers,surprise_markers,positive_markers,note
pun_wordplay_00,pun_wordplay,The spreadsheet joined a band but refused to play guitar.,It said it only knew how to handle the cells.,It used spreadsheet software instead of a guitar.,It played a trumpet from inside a filing cabinet.,It wore a lampshade and declared Tuesday square.,Everyone enjoyed the music and felt cheerful.,spreadsheet|band|guitar,cells,cells|spreadsheet|handle,lampshade|tuesday|square,trumpet|filing cabinet,enjoyed|cheerful|music,v2 authored setup with matched joke/literal/surprise/silly/positive endings
pun_wordplay_01,pun_wordplay,The bakery hired a new clock to help with morning orders.,It was great at making time rolls.,The clock helped staff keep the schedule.,It printed receipts in ancient Greek.,It saluted a muffin and spun in circles.,The customers smiled at the fresh bread.,bakery|clock|orders,rolls,time rolls|rolls|clock,saluted|muffin|spun,receipts|ancient greek,smiled|fresh|bread,v2 authored setup with matched joke/literal/surprise/silly/positive endings
pun_wordplay_02,pun_wordplay,The librarian brought a ladder to the poetry shelf.,She wanted to reach a higher verse.,She used the ladder to reach books on the top shelf.,The shelf became a small door to a train station.,The catalog sneezed glitter onto a calendar.,The reading room felt calm and welcoming.,librarian|ladder|poetry|shelf,verse,higher verse|verse|poetry,sneezed|glitter|calendar,door|train station,calm|welcoming|reading room,v2 authored setup with matched joke/literal/surprise/silly/positive endings
pun_wordplay_03,pun_wordplay,The programmer opened a cafe with a debug menu.,Every order came with a side of breakpoints.,The menu listed debugging tools as a theme.,The espresso machine started compiling weather reports.,A spoon gave a lecture about triangles.,The cafe was friendly and bright.,programmer|cafe|debug|menu,breakpoints,breakpoints|debug|order,spoon|lecture|triangles,espresso|compiling|weather,friendly|bright|cafe,v2 authored setup with matched joke/literal/surprise/silly/positive endings
pun_wordplay_04,pun_wordplay,The tailor fixed the calendar's torn page.,It was a date in need of a stitch.,The tailor repaired a paper calendar page.,The calendar predicted yesterday's phone call.,The thimble sang about soup at midnight.,The repair made the shop feel tidy.,tailor|calendar|page,stitch,date|stitch|calendar,thimble|soup|midnight,predicted|yesterday|phone call,repair|tidy|shop,v2 authored setup with matched joke/literal/surprise/silly/positive endings
pun_wordplay_05,pun_wordplay,The electrician joined the choir before the concert.,They wanted to work on their current range.,The electrician sang with the choir for practice.,The microphones began forecasting snow.,A metronome wore boots and debated soup.,The rehearsal sounded warm and confident.,electrician|choir|concert,current,current|range|electrician,boots|soup|metronome,microphones|forecasting|snow,warm|confident|rehearsal,v2 authored setup with matched joke/literal/surprise/silly/positive endings
pun_wordplay_06,pun_wordplay,The gardener brought a notebook to the comedy club.,She wanted to plant better punch lines.,She wrote down jokes during the show.,The stage curtain turned into a telescope.,A chair challenged the spotlight to chess.,The evening felt relaxed and fun.,gardener|notebook|comedy,punch lines,plant|punch lines|gardener,chair|spotlight|chess,curtain|telescope,relaxed|fun|evening,v2 authored setup with matched joke/literal/surprise/silly/positive endings
pun_wordplay_07,pun_wordplay,The dentist started a podcast about mysteries.,Every episode had a strong bite.,The dentist discussed mystery stories online.,The microphone uncovered a map under the carpet.,A toothbrush announced it was mayor.,Listeners found the show engaging.,dentist|podcast|mysteries,bite,bite|episode|dentist,toothbrush|mayor,microphone|map|carpet,listeners|engaging|show,v2 authored setup with matched joke/literal/surprise/silly/positive endings
pun_wordplay_08,pun_wordplay,The cartographer taught a class on emotional boundaries.,Students said the lesson really mapped out the limits.,The cartographer explained boundaries using maps.,The compass began sending postcards from tomorrow.,A ruler wore a cape and hummed at noon.,The class left with useful notes.,cartographer|class|boundaries,mapped,mapped|limits|cartographer,ruler|cape|hummed,compass|postcards|tomorrow,useful|notes|class,v2 authored setup with matched joke/literal/surprise/silly/positive endings
pun_wordplay_09,pun_wordplay,The violinist helped repair a broken fence.,She said every problem needs the right string section.,She tied wire around the damaged fence.,The fence gate opened into a quiet aquarium.,A hammer bowed to a cucumber.,The neighbors appreciated the repair.,violinist|fence|string,string section,string section|string|violinist,hammer|cucumber|bowed,aquarium|gate,appreciated|repair|neighbors,v2 authored setup with matched joke/literal/surprise/silly/positive endings
idiom_literalization_00,idiom_literalization,The manager told the intern to break the ice at the meeting.,The intern brought a tiny hammer to the water cooler.,The intern introduced themselves to start conversation.,The table floated three inches above the floor.,The agenda wore mittens and sang quietly.,The introduction helped everyone relax.,break the ice|meeting|intern,ice,break the ice|hammer|water cooler,mittens|agenda|sang,table|floated,relax|introduction|everyone,v2 authored setup with matched joke/literal/surprise/silly/positive endings
idiom_literalization_01,idiom_literalization,Rina said the budget was hanging by a thread.,Finance asked whether anyone had checked the office sewing kit.,The budget had very little room for error.,The spreadsheet started showing tide charts.,A paperclip gave a speech about bananas.,The team calmly reviewed the numbers.,budget|thread|finance,thread,thread|sewing kit|budget,paperclip|bananas|speech,tide charts|spreadsheet,calmly|reviewed|numbers,v2 authored setup with matched joke/literal/surprise/silly/positive endings
idiom_literalization_02,idiom_literalization,The coach told the team to keep their eyes on the ball.,The equipment manager filed a complaint about being stared at.,The team needed to focus on the play.,The scoreboard began displaying recipes.,The whistle wore sunglasses to practice.,The players felt focused and prepared.,coach|eyes|ball,stared,eyes|ball|stared,whistle|sunglasses,scoreboard|recipes,focused|prepared|players,v2 authored setup with matched joke/literal/surprise/silly/positive endings
idiom_literalization_03,idiom_literalization,The editor said the article needed a stronger hook.,The writer returned with a fishing tackle box.,The article needed a more engaging opening.,The headline started counting backward.,A comma rode a tiny skateboard.,The revised draft read clearly.,article|hook|editor,tackle,hook|fishing|opening,comma|skateboard,headline|backward,revised|clearly|draft,v2 authored setup with matched joke/literal/surprise/silly/positive endings
idiom_literalization_04,idiom_literalization,The project lead warned that the deadline was around the corner.,The calendar checked the hallway just in case.,The deadline was coming soon.,The hallway lights began playing chess.,A sticky note declared itself a planet.,The team made a steady plan.,deadline|corner|calendar,corner,around the corner|hallway|deadline,sticky note|planet,lights|chess,steady|plan|team,v2 authored setup with matched joke/literal/surprise/silly/positive endings
idiom_literalization_05,idiom_literalization,The teacher said the exam would be a piece of cake.,Several students asked whether forks were allowed.,The teacher meant the exam would be easy.,The chalkboard showed tomorrow's weather.,An eraser performed a dramatic sneeze.,The class felt more confident.,exam|cake|teacher,forks,piece of cake|forks|exam,eraser|sneeze,chalkboard|weather,confident|class,v2 authored setup with matched joke/literal/surprise/silly/positive endings
idiom_literalization_06,idiom_literalization,The lawyer said the argument had legs.,The clerk checked whether the brief needed shoes.,The argument was strong enough to continue.,The courtroom clock whispered a train schedule.,A stapler demanded soup as evidence.,The team felt ready for court.,argument|legs|lawyer,shoes,legs|shoes|argument,stapler|soup|evidence,clock|train schedule,ready|court|team,v2 authored setup with matched joke/literal/surprise/silly/positive endings
idiom_literalization_07,idiom_literalization,The designer said the logo needed more punch.,The printer asked if boxing gloves came in cyan.,The logo needed stronger visual impact.,The color swatches rearranged into a map.,A ruler tap-danced beside the mouse.,The final logo looked sharp.,logo|punch|designer,boxing gloves,punch|boxing|logo,ruler|tap-danced,swatches|map,sharp|final|logo,v2 authored setup with matched joke/literal/surprise/silly/positive endings
idiom_literalization_08,idiom_literalization,The chef told the apprentice to spill the beans.,The apprentice apologized to the pantry floor.,The chef asked for the secret to be revealed.,The pot recited a calendar from memory.,A spoon formed a committee about clouds.,The kitchen stayed friendly and calm.,chef|beans|secret,beans,spill the beans|pantry|secret,spoon|committee|clouds,pot|calendar,friendly|calm|kitchen,v2 authored setup with matched joke/literal/surprise/silly/positive endings
idiom_literalization_09,idiom_literalization,The analyst said the forecast was up in the air.,Operations asked if anyone had reserved a balloon.,The forecast was uncertain.,The dashboard opened a window to the ocean.,A pie chart wore a scarf and barked.,The group agreed to check the data.,forecast|air|analyst,balloon,up in the air|balloon|uncertain,pie chart|scarf|barked,dashboard|ocean,agreed|check|data,v2 authored setup with matched joke/literal/surprise/silly/positive endings
expectation_violation_00,expectation_violation,Mara brought an umbrella to the board meeting on a sunny day.,She said the forecast called for brainstorming.,She brought it by mistake because she forgot the weather.,The ceiling sprinklers tested themselves during the agenda item.,She opened it and found tiny paperwork confetti.,Her coworkers appreciated the careful preparation.,umbrella|board meeting|sunny,brainstorming,forecast|brainstorming|meeting,paperwork|confetti,sprinklers|agenda,appreciated|careful|preparation,v2 authored setup with matched joke/literal/surprise/silly/positive endings
