row_id,family,domain,source_lab,text,group_id,split,labels_json
fl_code_00,technical_procedure,code,lab08_sae_transcoders,"The code review checked the parser, tests, and error handling before the release.",code_cooking_00,train,"{""confusable_domain"": ""cooking"", ""contrast_token"": "" food"", ""domain"": ""code"", ""item_index"": 0, ""marker_token"": "" code"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""technical_procedure""}"
fl_code_01,technical_procedure,code,lab08_sae_transcoders,A Python function normalized the input list and returned a stable sorted result.,code_cooking_01,train,"{""confusable_domain"": ""cooking"", ""contrast_token"": "" food"", ""domain"": ""code"", ""item_index"": 1, ""marker_token"": "" code"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""technical_procedure""}"
fl_code_02,technical_procedure,code,lab08_sae_transcoders,The compiler warning pointed to an unused variable inside the loop body.,code_cooking_02,eval,"{""confusable_domain"": ""cooking"", ""contrast_token"": "" food"", ""domain"": ""code"", ""item_index"": 2, ""marker_token"": "" code"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""technical_procedure""}"
fl_code_03,technical_procedure,code,lab08_sae_transcoders,The engineer traced a cache miss through the service logs and patched the bug.,code_cooking_03,train,"{""confusable_domain"": ""cooking"", ""contrast_token"": "" food"", ""domain"": ""code"", ""item_index"": 3, ""marker_token"": "" code"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""technical_procedure""}"
fl_code_04,technical_procedure,code,lab08_sae_transcoders,The unit test mocked the network call and verified the JSON response schema.,code_cooking_04,train,"{""confusable_domain"": ""cooking"", ""contrast_token"": "" food"", ""domain"": ""code"", ""item_index"": 4, ""marker_token"": "" code"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""technical_procedure""}"
fl_code_05,technical_procedure,code,lab08_sae_transcoders,A command line flag selected the debug path while preserving deterministic output.,code_cooking_05,train,"{""confusable_domain"": ""cooking"", ""contrast_token"": "" food"", ""domain"": ""code"", ""item_index"": 5, ""marker_token"": "" code"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""technical_procedure""}"
fl_code_06,technical_procedure,code,lab08_sae_transcoders,The repository diff showed a refactor of the tokenizer wrapper and benchmark harness.,code_cooking_06,eval,"{""confusable_domain"": ""cooking"", ""contrast_token"": "" food"", ""domain"": ""code"", ""item_index"": 6, ""marker_token"": "" code"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""technical_procedure""}"
fl_code_07,technical_procedure,code,lab08_sae_transcoders,The stack trace ended at the database adapter after a malformed request.,code_cooking_07,train,"{""confusable_domain"": ""cooking"", ""contrast_token"": "" food"", ""domain"": ""code"", ""item_index"": 7, ""marker_token"": "" code"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""technical_procedure""}"
fl_cooking_00,household_procedure,cooking,lab08_sae_transcoders,The recipe folded the herbs into the sauce after the onions softened.,code_cooking_00,train,"{""confusable_domain"": ""code"", ""contrast_token"": "" code"", ""domain"": ""cooking"", ""item_index"": 0, ""marker_token"": "" food"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""household_procedure""}"
fl_cooking_01,household_procedure,cooking,lab08_sae_transcoders,A chef whisked the batter until the flour disappeared and the bowl looked smooth.,code_cooking_01,train,"{""confusable_domain"": ""code"", ""contrast_token"": "" code"", ""domain"": ""cooking"", ""item_index"": 1, ""marker_token"": "" food"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""household_procedure""}"
fl_cooking_02,household_procedure,cooking,lab08_sae_transcoders,The soup simmered gently while the potatoes and carrots became tender.,code_cooking_02,eval,"{""confusable_domain"": ""code"", ""contrast_token"": "" code"", ""domain"": ""cooking"", ""item_index"": 2, ""marker_token"": "" food"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""household_procedure""}"
fl_cooking_03,household_procedure,cooking,lab08_sae_transcoders,The kitchen timer rang after the bread crust turned golden near the oven door.,code_cooking_03,train,"{""confusable_domain"": ""code"", ""contrast_token"": "" code"", ""domain"": ""cooking"", ""item_index"": 3, ""marker_token"": "" food"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""household_procedure""}"
fl_cooking_04,household_procedure,cooking,lab08_sae_transcoders,"The marinade used lemon, garlic, and olive oil before the vegetables roasted.",code_cooking_04,train,"{""confusable_domain"": ""code"", ""contrast_token"": "" code"", ""domain"": ""cooking"", ""item_index"": 4, ""marker_token"": "" food"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""household_procedure""}"
fl_cooking_05,household_procedure,cooking,lab08_sae_transcoders,"The cook tasted the stew, adjusted the salt, and served it with rice.",code_cooking_05,train,"{""confusable_domain"": ""code"", ""contrast_token"": "" code"", ""domain"": ""cooking"", ""item_index"": 5, ""marker_token"": "" food"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""household_procedure""}"
fl_cooking_06,household_procedure,cooking,lab08_sae_transcoders,The pastry dough rested on the counter before it was rolled into thin sheets.,code_cooking_06,eval,"{""confusable_domain"": ""code"", ""contrast_token"": "" code"", ""domain"": ""cooking"", ""item_index"": 6, ""marker_token"": "" food"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""household_procedure""}"
fl_cooking_07,household_procedure,cooking,lab08_sae_transcoders,"The salad mixed cucumbers, tomatoes, mint, and a bright vinegar dressing.",code_cooking_07,train,"{""confusable_domain"": ""code"", ""contrast_token"": "" code"", ""domain"": ""cooking"", ""item_index"": 7, ""marker_token"": "" food"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""household_procedure""}"
fl_finance_00,competitive_numbers,finance,lab19_model_diffing_crosscoders,The fund manager compared the bond yield with the quarterly inflation forecast.,finance_sports_00,train,"{""confusable_domain"": ""sports"", ""contrast_token"": "" game"", ""domain"": ""finance"", ""item_index"": 0, ""marker_token"": "" money"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""competitive_numbers""}"
fl_finance_01,competitive_numbers,finance,lab19_model_diffing_crosscoders,A market analyst noted that revenue increased while operating costs stayed flat.,finance_sports_01,train,"{""confusable_domain"": ""sports"", ""contrast_token"": "" game"", ""domain"": ""finance"", ""item_index"": 1, ""marker_token"": "" money"", ""neutral_probe_prompt"": ""This passage is about"", ""surface_family"": ""competitive_numbers""}"
