row_id,domain,family,split,text,hard_negative_group,lexical_markers,notes
V3_0001,chemistry,chemistry,train,"The strong acid donated a proton to the base, forming a salt and water.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0002,chemistry,chemistry,train,Titrating the solution to its equivalence point turned the indicator pink.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0003,chemistry,chemistry,train,Oxidation strips electrons from the metal while the cathode is reduced.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0004,chemistry,chemistry,train,A buffer resists changes in pH when small amounts of acid are added.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0005,chemistry,chemistry,train,"The reaction was exothermic, releasing heat as the bonds reorganized.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0006,chemistry,chemistry,train,Sodium chloride dissolves into its constituent ions in aqueous solution.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0007,chemistry,chemistry,dev,Catalysts lower the activation energy without being consumed themselves.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0008,chemistry,chemistry,dev,The molar mass determines how many grams make up one mole of the compound.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0009,chemistry,chemistry,test,Electrons fill orbitals from the lowest available energy level upward.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0010,chemistry,chemistry,test,Distillation separates the mixture by exploiting differences in boiling point.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0011,chemistry,chemistry,train,The precipitate formed the moment the two clear solutions were combined.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0012,chemistry,chemistry,train,Covalent bonds share electron pairs between adjacent nonmetal atoms.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0013,chemistry,chemistry,train,Increasing the concentration of reactants shifts the equilibrium forward.,chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
V3_0014,chemistry,chemistry,train,"The pH meter read 2.1, confirming the sample was strongly acidic.",chemistry_vs_cooking_shared_terms,acid;base;reaction;electron;solution;pH;molecule,semantic-domain short item
