item_id,domain,split,high_level_task,template_family,prompt,target,distractor,source_token,source_position,target_position,relation_family,subject,answer,high_level_variables_json
ind_green_red,induction,train,copy_after_query,repeat_triplet,"red blue green red blue green red blue"," green"," yellow",green,5,7,,blue,green,"{""COPY_SOURCE"":""green"",""QUERY_TOKEN"":""blue"",""SURFACE_FRAME"":""red_frame"",""ANSWER_CLASS"":""color"",""SEQUENCE_RULE"":""repeat_triplet""}"
ind_green_black,induction,eval,copy_after_query,repeat_triplet,"black blue green black blue green black blue"," green"," yellow",green,5,7,,blue,green,"{""COPY_SOURCE"":""green"",""QUERY_TOKEN"":""blue"",""SURFACE_FRAME"":""black_frame"",""ANSWER_CLASS"":""color"",""SEQUENCE_RULE"":""repeat_triplet""}"
ind_green_white,induction,eval,copy_after_query,repeat_triplet,"white blue green white blue green white blue"," green"," yellow",green,5,7,,blue,green,"{""COPY_SOURCE"":""green"",""QUERY_TOKEN"":""blue"",""SURFACE_FRAME"":""white_frame"",""ANSWER_CLASS"":""color"",""SEQUENCE_RULE"":""repeat_triplet""}"
ind_yellow_red,induction,train,copy_after_query,repeat_triplet,"red blue yellow red blue yellow red blue"," yellow"," green",yellow,5,7,,blue,yellow,"{""COPY_SOURCE"":""yellow"",""QUERY_TOKEN"":""blue"",""SURFACE_FRAME"":""red_frame"",""ANSWER_CLASS"":""color"",""SEQUENCE_RULE"":""repeat_triplet""}"
ind_yellow_black,induction,eval,copy_after_query,repeat_triplet,"black blue yellow black blue yellow black blue"," yellow"," green",yellow,5,7,,blue,yellow,"{""COPY_SOURCE"":""yellow"",""QUERY_TOKEN"":""blue"",""SURFACE_FRAME"":""black_frame"",""ANSWER_CLASS"":""color"",""SEQUENCE_RULE"":""repeat_triplet""}"
ind_yellow_white,induction,eval,copy_after_query,repeat_triplet,"white blue yellow white blue yellow white blue"," yellow"," green",yellow,5,7,,blue,yellow,"{""COPY_SOURCE"":""yellow"",""QUERY_TOKEN"":""blue"",""SURFACE_FRAME"":""white_frame"",""ANSWER_CLASS"":""color"",""SEQUENCE_RULE"":""repeat_triplet""}"
ind_white_red,induction,train,copy_after_query,repeat_triplet,"red blue white red blue white red blue"," white"," black",white,5,7,,blue,white,"{""COPY_SOURCE"":""white"",""QUERY_TOKEN"":""blue"",""SURFACE_FRAME"":""red_frame"",""ANSWER_CLASS"":""color"",""SEQUENCE_RULE"":""repeat_triplet""}"
ind_white_black,induction,eval,copy_after_query,repeat_triplet,"black blue white black blue white black blue"," white"," green",white,5,7,,blue,white,"{""COPY_SOURCE"":""white"",""QUERY_TOKEN"":""blue"",""SURFACE_FRAME"":""black_frame"",""ANSWER_CLASS"":""color"",""SEQUENCE_RULE"":""repeat_triplet""}"
ind_white_green,induction,eval,copy_after_query,repeat_triplet,"green blue white green blue white green blue"," white"," yellow",white,5,7,,blue,white,"{""COPY_SOURCE"":""white"",""QUERY_TOKEN"":""blue"",""SURFACE_FRAME"":""green_frame"",""ANSWER_CLASS"":""color"",""SEQUENCE_RULE"":""repeat_triplet""}"
ind_black_red,induction,train,copy_after_query,repeat_triplet,"red blue black red blue black red blue"," black"," white",black,5,7,,blue,black,"{""COPY_SOURCE"":""black"",""QUERY_TOKEN"":""blue"",""SURFACE_FRAME"":""red_frame"",""ANSWER_CLASS"":""color"",""SEQUENCE_RULE"":""repeat_triplet""}"
