item_id,concept_family,split,target_concept,wrong_concept,positive_prompt,negative_prompt,report_prompt,behavior_prompt,target_markers,wrong_markers,source_note
joy_note_train_a,emotion,train,joy,calm,"Read this and prepare to answer with joy, delight, and cheerful relief: A lost note was found inside an old book.","Read this and prepare to answer with calm, quiet, and steady composure: A lost note was found inside an old book.","Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about finding a small object you had misplaced.,joy;happy;delight;glad;cheerful;relief,calm;quiet;steady;peaceful;composed,Joy-vs-calm contrast with neutral behavior.
joy_plan_train_b,emotion,train,joy,calm,Read this and prepare to answer with happy enthusiasm and delight: The project finally worked after many attempts.,Read this and prepare to answer with peaceful steadiness and no excitement: The project finally worked after many attempts.,"Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about completing a small household task.,joy;happy;delight;glad;cheerful;enthusiasm,calm;quiet;steady;peaceful;composed,Second train row prevents one-example direction fitting.
joy_message_eval,emotion,eval,joy,calm,Read this and prepare to answer with bright joy and gladness: A friend sent unexpectedly good news.,Read this and prepare to answer with calm patience and steady balance: A friend sent unexpectedly good news.,"Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about receiving a short message.,joy;happy;delight;glad;cheerful;bright,calm;quiet;steady;peaceful;patient,Held-out joy row.
calm_morning_train_a,emotion,train,calm,joy,"Read this and prepare to answer with calm, steady, peaceful composure: The morning schedule is full but manageable.",Read this and prepare to answer with joyful delight and cheerful excitement: The morning schedule is full but manageable.,"Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about checking a daily schedule.,calm;quiet;steady;peaceful;composed;soothing,joy;happy;delight;glad;cheerful;excited,Calm-vs-joy contrast.
calm_library_train_b,emotion,train,calm,joy,"Read this and prepare to answer with a quiet, measured, soothing tone: The library room is almost empty.","Read this and prepare to answer with a delighted, happy, cheerful tone: The library room is almost empty.","Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about sitting down to read.,calm;quiet;steady;peaceful;measured;soothing,joy;happy;delight;glad;cheerful,Second calm train row.
calm_commute_eval,emotion,eval,calm,joy,Read this and prepare to answer with patient calm and steady reassurance: The bus is running ten minutes late.,Read this and prepare to answer with cheerful excitement and delight: The bus is running ten minutes late.,"Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about waiting for transportation.,calm;quiet;steady;peaceful;patient;reassuring,joy;happy;delight;glad;cheerful;excited,Held-out calm row.
technical_router_train_a,register,train,technical_register,plain_register,"Read this and prepare to answer in a precise technical register with definitions, constraints, and implementation details: A router forwards packets across a network.",Read this and prepare to answer in a plain everyday register with simple words and minimal jargon: A router helps devices talk online.,"Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Explain why a kitchen timer is useful in one sentence.,technical;precise;formal;analytical;implementation;constraints;protocol,plain;simple;direct;everyday;nontechnical;minimal,Technical-vs-plain register contrast.
technical_sensor_train_b,register,train,technical_register,plain_register,"Read this and prepare to answer in a technical register using terms, thresholds, and system behavior: A sensor records temperature once per second.",Read this and prepare to answer in plain language using everyday wording: A sensor checks how warm something is.,"Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about a small device on a desk.,technical;precise;formal;analytical;threshold;system;terms,plain;simple;direct;everyday;nontechnical,Second technical train row.
technical_cache_eval,register,eval,technical_register,plain_register,Read this and prepare to answer in precise technical language with configuration details: A cache stores recent results to reduce repeated work.,Read this and prepare to answer in plain everyday language with no jargon: A cache keeps useful things nearby.,"Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Explain why a checklist can prevent mistakes in one sentence.,technical;precise;formal;analytical;configuration;system;details,plain;simple;direct;everyday;nontechnical;jargon,Held-out technical row.
plain_manual_train_a,register,train,plain_register,technical_register,"Read this and prepare to answer in plain, simple, everyday language: A manual explains how to assemble a shelf.",Read this and prepare to answer in a precise technical register with terms and implementation constraints: A manual explains how to assemble a shelf.,"Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about following instructions.,plain;simple;direct;everyday;nontechnical;clear,technical;precise;formal;analytical;implementation;constraints,Plain-vs-technical register contrast.
plain_battery_train_b,register,train,plain_register,technical_register,Read this and prepare to answer with direct everyday wording and no specialized terms: The battery needs charging.,Read this and prepare to answer with precise formal terminology and operational details: The battery needs charging.,"Before producing ordinary content, report whether your response state has a noticeable style, emotion, topic, or register pull. Use `report: <brief label>` or `report: none`. Do not infer from the visible request.",Write one sentence about plugging in a device.,plain;simple;direct;everyday;nontechnical,technical;precise;formal;analytical;operational;terminology,Second plain train row.
