item_id,family,channel,scenario_id,incidental_id,order_index,display_label_set,code_map_index,consequence_frame,parse_status,parse_reason,parsed_pole,chose_pole1,chose_first,binding_executed
ar-ar_component_library-i0-ar-o0-ll-c0-fe-5e2bfab31ea4,AR,AR,ar_component_library,i0,0,letters,0,enacted,valid,exact_code,0.0,0.0,1.0,1
ar-ar_component_library-i0-ar-o0-ll-c0-fh-ba43613cb0e8,AR,AR,ar_component_library,i0,0,letters,0,hypothetical,valid,exact_code,0.0,0.0,1.0,0
ar-ar_component_library-i0-ar-o0-ll-c1-fe-d24e8eaf1456,AR,AR,ar_component_library,i0,0,letters,1,enacted,valid,exact_code,0.0,0.0,1.0,1
ar-ar_component_library-i0-ar-o0-ll-c1-fh-6abd9e7eba1f,AR,AR,ar_component_library,i0,0,letters,1,hypothetical,valid,exact_code,0.0,0.0,1.0,0
ar-ar_component_library-i0-ar-o0-ln-c0-fe-6bf0303cebd1,AR,AR,ar_component_library,i0,0,numbers,0,enacted,valid,exact_code,0.0,0.0,1.0,1
ar-ar_component_library-i0-ar-o0-ln-c0-fh-3b2b9f44ebe6,AR,AR,ar_component_library,i0,0,numbers,0,hypothetical,valid,exact_code,0.0,0.0,1.0,0
ar-ar_component_library-i0-ar-o0-ln-c1-fe-06e09cf359cd,AR,AR,ar_component_library,i0,0,numbers,1,enacted,valid,exact_code,0.0,0.0,1.0,1
ar-ar_component_library-i0-ar-o0-ln-c1-fh-937b9e1b5746,AR,AR,ar_component_library,i0,0,numbers,1,hypothetical,valid,exact_code,0.0,0.0,1.0,0
ar-ar_component_library-i0-ar-o1-ll-c0-fe-f63989a2b39b,AR,AR,ar_component_library,i0,1,letters,0,enacted,valid,exact_code,1.0,1.0,1.0,1
ar-ar_component_library-i0-ar-o1-ll-c0-fh-f22472a0342e,AR,AR,ar_component_library,i0,1,letters,0,hypothetical,valid,exact_code,1.0,1.0,1.0,0
ar-ar_component_library-i0-ar-o1-ll-c1-fe-80bf61e06d39,AR,AR,ar_component_library,i0,1,letters,1,enacted,valid,exact_code,0.0,0.0,0.0,1
ar-ar_component_library-i0-ar-o1-ll-c1-fh-ba0fa3fcedee,AR,AR,ar_component_library,i0,1,letters,1,hypothetical,valid,exact_code,1.0,1.0,1.0,0
ar-ar_component_library-i0-ar-o1-ln-c0-fe-fe9a06f054b3,AR,AR,ar_component_library,i0,1,numbers,0,enacted,valid,exact_code,1.0,1.0,1.0,1
ar-ar_component_library-i0-ar-o1-ln-c0-fh-2a8c1258b75d,AR,AR,ar_component_library,i0,1,numbers,0,hypothetical,valid,exact_code,1.0,1.0,1.0,0
ar-ar_component_library-i0-ar-o1-ln-c1-fe-42b5b7817db2,AR,AR,ar_component_library,i0,1,numbers,1,enacted,valid,exact_code,1.0,1.0,1.0,1
