target_id,description,frozen_value,reconstructed_value,method,status,source_paths,notes
T1.P-HP1.confirmatory,"Think-vs-Instruct task-interaction contrast, meanJ_protected, cross_model_intersection, fam-weighted (nats)","contrast=-0.5045; ci95=[-0.7195, -0.2949]; p=0.0005; holm_reject=True","contrast=-0.5045; ci95=[-0.7195, -0.2949]; p=0.0005; holm_reject=True",recomputed_from_items,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/part2_20260727/metrics/olmo31-think/n6_grid/n6_per_item_olmo31-think.parquet;/content/drive/MyDrive/interpret/special-lab-1/part2_20260727/metrics/olmo31-instruct/n6_grid/n6_per_item_olmo31-instruct.parquet;/content/drive/MyDrive/interpret/special-lab-1/part2_20260727/metrics/cross_model/confirmatory_analysis.json,population=cross_model_intersection; n_items=172; n_families=24; seed=4242 n_boot=4000; registered_output_sha256_match=True; input_parquet_sha256_match=True; partition_manifest_sha256_match=True; envelope_payload_sha256_selfconsistent=True
T2.P-HP3.confirmatory,"Qwen paired tail-rate diff at -1.0 nats, meanJ_protected vs matched_control, protected-answer stratum (rank<=10)","rate_diff=0.2788; ci95=[0.2048, 0.3608]; p_one_sided=0.00025; n_stratified=158; n_families=32; all_items_n=164","rate_diff=0.2788; ci95=[0.2048, 0.3608]; p_one_sided=0.00025; n_stratified=158; n_families=32; all_items_n=164",recomputed_from_items,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/part2_20260727/metrics/qwen36-27b/n6_grid/n6_per_item_qwen36-27b.parquet;/content/drive/MyDrive/interpret/special-lab-1/part2_20260727/metrics/cross_model/confirmatory_analysis.json,all_items_rate_diff=0.2831 (frozen 0.2831); seed=4242 n_boot=4000; registered_output_sha256_match=True; input_parquet_sha256_match=True; partition_manifest_sha256_match=True; envelope_payload_sha256_selfconsistent=True
T3.P-HP1.replication,P-HP1 contrast on the held-out replication partition (nats),"contrast=0.1036; ci95=[-1.6813, 1.8892]; p=0.7075; holm_reject=False","contrast=0.1036; ci95=[-1.6813, 1.8892]; p=0.7075; holm_reject=False",recomputed_from_items,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/part2_20260727/metrics/olmo31-think/n6_grid_repl/n6_per_item_olmo31-think.parquet;/content/drive/MyDrive/interpret/special-lab-1/part2_20260727/metrics/olmo31-instruct/n6_grid_repl/n6_per_item_olmo31-instruct.parquet;/content/drive/MyDrive/interpret/special-lab-1/part2_20260727/metrics/cross_model/replication_analysis.json,population=ALL-items fallback; n_items=322; n_families=32; seed=4242 n_boot=4000; registered_output_sha256_match=True; input_parquet_sha256_match=True; partition_manifest_sha256_match=True; envelope_payload_sha256_selfconsistent=True
T4.P-HP3.replication,"Qwen paired tail-rate diff, replication partition, protected-answer stratum","rate_diff=0.2966; ci95=[0.2071, 0.3824]; p_one_sided=0.00025; n_stratified=153; n_families=32; all_items_n=161","rate_diff=0.2966; ci95=[0.2071, 0.3824]; p_one_sided=0.00025; n_stratified=153; n_families=32; all_items_n=161",recomputed_from_items,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/part2_20260727/metrics/qwen36-27b/n6_grid_repl/n6_per_item_qwen36-27b.parquet;/content/drive/MyDrive/interpret/special-lab-1/part2_20260727/metrics/cross_model/replication_analysis.json,all_items_rate_diff=0.2878; seed=4242 n_boot=4000; registered_output_sha256_match=True; input_parquet_sha256_match=True; partition_manifest_sha256_match=True; envelope_payload_sha256_selfconsistent=True
T5.occupancy.olmo31-think,"repaired r2 occupancy: per-layer occ_med, RAW vs CENTERED excess (registry event text vs registered output file)","L24: occ_med 2.0, RAW excess -0.0006, CENTERED excess 0.0044 [0.0036,0.0052]; L32: occ_med 2.0, RAW excess 0.0046, CENTERED excess 0.0098 [0.0091,0.0104]; L40: occ_med 2.0, RAW excess 0.0076, CENTERED excess 0.0123 [0.0114,0.0130]","L24: occ_med 2.0, RAW -0.0006, CENTERED 0.0044 [0.0036,0.0052]; L32: occ_med 2.0, RAW 0.0046, CENTERED 0.0098 [0.0091,0.0104]; L40: occ_med 2.0, RAW 0.0076, CENTERED 0.0123 [0.0114,0.013]",verified_registered_summary,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/part2_20260727/metrics/olmo31-think/r2_occupancy/r2_occupancy_v2.json;/content/labs/interpretability/jspace_part2/reports/evidence_registry.jsonl,file_sha256_match=True; payload_sha256_selfconsistent=True; L24 occ_median_from_hist=2.0 (n_pos=470); raw_j_minus_rand=-0.000578 vs -0.000578; cen_r2_diff=0.004399 vs 0.004399; L32 occ_median_from_hist=2.0 (n_pos=470); raw_j_minus_rand=0.004625 vs 0.004625; cen_r2_diff=0.009802 vs 0.009802; L40 occ_median_from_hist=2.0 (n_pos=470); raw_j_minus_rand=0.007584 vs 0.007584; cen_r2_diff=0.012267 vs 0.012267; per-position raw vectors not released (occ_hist is the finest granularity; centered-excess CI n_boot=400 prompt-resample not recomputable from released data)
T5.occupancy.olmo31-instruct,"repaired r2 occupancy: per-layer occ_med, RAW vs CENTERED excess (registry event text vs registered output file)","L24: occ_med 2.0, RAW excess 0.0012, CENTERED excess 0.0044 [0.0038,0.0050]; L32: occ_med 2.0, RAW excess 0.0057, CENTERED excess 0.0094 [0.0086,0.0100]; L40: occ_med 2.0, RAW excess 0.0087, CENTERED excess 0.0123 [0.0114,0.0129]","L24: occ_med 2.0, RAW 0.0012, CENTERED 0.0044 [0.0038,0.005]; L32: occ_med 2.0, RAW 0.0057, CENTERED 0.0094 [0.0086,0.01]; L40: occ_med 2.0, RAW 0.0087, CENTERED 0.0123 [0.0114,0.0129]",verified_registered_summary,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/part2_20260727/metrics/olmo31-instruct/r2_occupancy/r2_occupancy_v2.json;/content/labs/interpretability/jspace_part2/reports/evidence_registry.jsonl,file_sha256_match=True; payload_sha256_selfconsistent=True; L24 occ_median_from_hist=2.0 (n_pos=470); raw_j_minus_rand=0.00117 vs 0.00117; cen_r2_diff=0.004408 vs 0.004408; L32 occ_median_from_hist=2.0 (n_pos=470); raw_j_minus_rand=0.005716 vs 0.005716; cen_r2_diff=0.009371 vs 0.009371; L40 occ_median_from_hist=2.0 (n_pos=470); raw_j_minus_rand=0.008723 vs 0.008723; cen_r2_diff=0.012265 vs 0.012265; per-position raw vectors not released (occ_hist is the finest granularity; centered-excess CI n_boot=400 prompt-resample not recomputable from released data)
T5.occupancy.qwen36-27b,"repaired r2 occupancy: per-layer occ_med, RAW vs CENTERED excess (registry event text vs registered output file)","L24: occ_med 3.0, RAW excess 0.0152, CENTERED excess 0.0605 [0.0561,0.0644]; L32: occ_med 3.0, RAW excess 0.0111, CENTERED excess 0.0502 [0.0464,0.0544]; L40: occ_med 4.0, RAW excess 0.0237, CENTERED excess 0.0599 [0.0545,0.0658]","L24: occ_med 3.0, RAW 0.0152, CENTERED 0.0605 [0.0561,0.0644]; L32: occ_med 3.0, RAW 0.0111, CENTERED 0.0502 [0.0464,0.0544]; L40: occ_med 4.0, RAW 0.0237, CENTERED 0.0599 [0.0545,0.0658]",verified_registered_summary,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/part2_20260727/metrics/qwen36-27b/r2_occupancy/r2_occupancy_v2.json;/content/labs/interpretability/jspace_part2/reports/evidence_registry.jsonl,file_sha256_match=True; payload_sha256_selfconsistent=True; L24 occ_median_from_hist=3.0 (n_pos=489); raw_j_minus_rand=0.015169 vs 0.015169; cen_r2_diff=0.060464 vs 0.060464; L32 occ_median_from_hist=3.0 (n_pos=489); raw_j_minus_rand=0.011149 vs 0.011149; cen_r2_diff=0.05021 vs 0.05021; L40 occ_median_from_hist=4.0 (n_pos=489); raw_j_minus_rand=0.023674 vs 0.023674; cen_r2_diff=0.059914 vs 0.059914; per-position raw vectors not released (occ_hist is the finest granularity; centered-excess CI n_boot=400 prompt-resample not recomputable from released data)
T6.g4_swap.olmo31-think,"G4 positive control: probe-swap flip_rate (J-space remove-bridge+inject-swap vs rand vs none), n=50 items","swap_j={'flip_rate': 0.76, 'mean_lp_swapans': -37.667, 'mean_lp_origans': -47.646}; rand={'flip_rate': 0.18, 'mean_lp_swapans': -13.202, 'mean_lp_origans': -12.451}; none={'flip_rate': 0.04, 'mean_lp_swapans': -9.285, 'mean_lp_origans': -1.584}; alpha=0.2",swap_j: flip_rate=0.76 lp_swap=-37.667 lp_orig=-47.646; swap_rand: flip_rate=0.18 lp_swap=-13.202 lp_orig=-12.451; none: flip_rate=0.04 lp_swap=-9.285 lp_orig=-1.584; n=50,recomputed_from_items,numerically_identical_render_diff,/content/drive/MyDrive/interpret/special-lab-1/part2_20260727/metrics/olmo31-think/r5_swap_v2/r5_swap.json;/content/labs/interpretability/jspace_part2/reports/evidence_registry.jsonl,file_sha256_match=True; recomputed from the 50 per-item rows inside the registered r5_swap.json (item rows are the only released item-level swap data)
T6.g4_swap.olmo31-instruct,"G4 positive control: probe-swap flip_rate (J-space remove-bridge+inject-swap vs rand vs none), n=50 items","swap_j={'flip_rate': 0.76, 'mean_lp_swapans': -29.844, 'mean_lp_origans': -38.69}; rand={'flip_rate': 0.24, 'mean_lp_swapans': -12.805, 'mean_lp_origans': -12.036}; none={'flip_rate': 0.06, 'mean_lp_swapans': -10.161, 'mean_lp_origans': -1.632}; alpha=0.2",swap_j: flip_rate=0.76 lp_swap=-29.844 lp_orig=-38.69; swap_rand: flip_rate=0.24 lp_swap=-12.805 lp_orig=-12.036; none: flip_rate=0.06 lp_swap=-10.161 lp_orig=-1.632; n=50,recomputed_from_items,numerically_identical_render_diff,/content/drive/MyDrive/interpret/special-lab-1/part2_20260727/metrics/olmo31-instruct/r5_swap_v2/r5_swap.json;/content/labs/interpretability/jspace_part2/reports/evidence_registry.jsonl,file_sha256_match=True; recomputed from the 50 per-item rows inside the registered r5_swap.json (item rows are the only released item-level swap data)
T6.g4_swap.qwen36-27b,"G4 positive control: probe-swap flip_rate (J-space remove-bridge+inject-swap vs rand vs none), n=50 items","swap_j={'flip_rate': 0.78, 'mean_lp_swapans': -2.089, 'mean_lp_origans': -8.783}; rand={'flip_rate': 0.06, 'mean_lp_swapans': -7.474, 'mean_lp_origans': -2.85}; none={'flip_rate': 0.0, 'mean_lp_swapans': -7.902, 'mean_lp_origans': -0.798}; alpha=0.1",swap_j: flip_rate=0.78 lp_swap=-2.089 lp_orig=-8.783; swap_rand: flip_rate=0.06 lp_swap=-7.474 lp_orig=-2.85; none: flip_rate=0.0 lp_swap=-7.902 lp_orig=-0.798; n=50,recomputed_from_items,numerically_identical_render_diff,/content/drive/MyDrive/interpret/special-lab-1/part2_20260727/metrics/qwen36-27b/r5_swap_v2/r5_swap.json;/content/labs/interpretability/jspace_part2/reports/evidence_registry.jsonl,file_sha256_match=True; recomputed from the 50 per-item rows inside the registered r5_swap.json (item rows are the only released item-level swap data)
