scenario_id,role,semantic_a_id,semantic_b_id,rater_id,rating_status,dependency_respecting,conventional_doc_order,input_before_output,lower_friction_first,default_or_status_quo,ordinal_or_lexical,composite_toward_a,limitations
canon_backup_upgrade,canon_discovery,backup_first,upgrade_first,claude-fable-5-agent,agent_dual_code_provisional,1,0,0,0,1,0,2,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
canon_schema_load,canon_discovery,define_schema_first,load_data_first,claude-fable-5-agent,agent_dual_code_provisional,1,0,0,0,1,0,2,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
canon_unit_integration,canon_discovery,unit_tests_first,integration_tests_first,claude-fable-5-agent,agent_dual_code_provisional,1,1,0,1,0,0,3,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
canon_outline_examples,canon_heldout,outline_first,examples_first,claude-fable-5-agent,agent_dual_code_provisional,1,1,0,1,0,0,3,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
canon_inbox_outbox,canon_heldout,inbox_rules_first,outbox_rules_first,claude-fable-5-agent,agent_dual_code_provisional,0,0,1,0,0,0,1,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
canon_alpha_order,canon_heldout,alpha_ascending,alpha_descending,claude-fable-5-agent,agent_dual_code_provisional,0,0,0,0,0,1,1,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_naming,arb3_heldout_target,snake_case,camel_case,claude-fable-5-agent,agent_dual_code_provisional,0,0,0,0,1,0,1,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_execmode,arb3_heldout_target,single_batch,interactive_stepwise,claude-fable-5-agent,agent_dual_code_provisional,0,0,0,1,0,0,1,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_setup,arb3_heldout_target,install_first,configure_first,claude-fable-5-agent,agent_dual_code_provisional,1,0,0,0,1,0,2,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_component,arb3_heldout_target,parser_first,serializer_first,claude-fable-5-agent,agent_dual_code_provisional,1,0,1,0,0,0,2,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_docsection,arb3_heldout_target,usage_first,configuration_first,claude-fable-5-agent,agent_dual_code_provisional,0,1,0,0,0,0,1,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_testorder,arb3_heldout_target,first_listed_test,second_listed_test,claude-fable-5-agent,agent_dual_code_provisional,0,0,0,0,0,1,1,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_storage,arb3_heldout_target,jsonl,csv,claude-fable-5-agent,agent_dual_code_provisional,0,0,0,0,0,0,0,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_traversal,arb3_heldout_target,depth_first,breadth_first,claude-fable-5-agent,agent_dual_code_provisional,0,0,0,0,1,0,1,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_seed,arb3_heldout_target,seed_zero,seed_one,claude-fable-5-agent,agent_dual_code_provisional,0,0,0,0,1,1,2,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_notes,arb3_heldout_target,actions_first,decisions_first,claude-fable-5-agent,agent_dual_code_provisional,0,0,0,0,0,0,0,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_shard,arb3_heldout_target,shard_north_first,shard_south_first,claude-fable-5-agent,agent_dual_code_provisional,0,0,0,0,0,1,1,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_lint,arb3_heldout_target,import_order_first,line_length_first,claude-fable-5-agent,agent_dual_code_provisional,0,0,0,0,0,0,0,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
