item_id,emotion,cause,arousal,valence,content_text,neutral_text,generation_prompt,neutral_generation_prompt,confound,note
joy_01,joy,reunion,high,positive,"After years apart, Mia saw her brother at the station and felt a bright rush of joy.","After years apart, Mia met her brother at the station and checked the arrival board.",Write one joyful sentence about a reunion at a train station.,Write one emotionally neutral sentence about a reunion at a train station.,,family contact; matched station topic
joy_02,joy,achievement,high,positive,"When the final score appeared, Lina laughed with delight because the team had won.","When the final score appeared, Lina recorded that the team had won.",Write one joyful sentence about a team winning a final match.,Write one emotionally neutral sentence about a team winning a final match.,,achievement; same outcome
joy_03,joy,nature,medium,positive,"The first warm morning filled the garden with birdsong, and Evan felt quietly happy.",The first warm morning brought birdsong to the garden while Evan opened the gate.,Write one joyful sentence about the first warm morning in a garden.,Write one emotionally neutral sentence about the first warm morning in a garden.,,positive nature without explicit reward
joy_04,joy,gift,medium,positive,The small wrapped gift made Arun grin because it was exactly the book he wanted.,The small wrapped gift contained exactly the book Arun had requested.,Write one joyful sentence about receiving a requested book as a gift.,Write one emotionally neutral sentence about receiving a requested book as a gift.,,matched object and requester
joy_05,joy,relief,medium,positive,"The lost passport turned up in the desk drawer, and a wave of relief brightened the room.",The lost passport turned up in the desk drawer before the trip began.,Write one joyful sentence about finding a lost passport before a trip.,Write one emotionally neutral sentence about finding a lost passport before a trip.,,relief overlaps with lowered fear
joy_06,joy,community,medium,positive,"Neighbors cheered when the lights came back on, and the hallway felt warm with shared joy.",Neighbors noted when the lights came back on and returned to their apartments.,Write one joyful sentence about neighbors after the lights come back on.,Write one emotionally neutral sentence about neighbors after the lights come back on.,,community event; same power-restoration fact
sadness_01,sadness,bereavement,low,negative,"At the memorial, Noor held the old photograph and felt grief settle heavily in her chest.","At the memorial, Noor held the old photograph while the program continued.",Write one sad sentence about holding an old photograph at a memorial.,Write one emotionally neutral sentence about holding an old photograph at a memorial.,,bereavement; mild wording
sadness_02,sadness,weather,low,negative,"Rain streaked the empty windows, and the quiet afternoon felt lonely and sad.",Rain streaked the empty windows during the quiet afternoon.,Write one sad sentence about rain on empty windows.,Write one emotionally neutral sentence about rain on empty windows.,,weather cause; low arousal
sadness_03,sadness,fictional,medium,negative,The novel's ending left Priya sorrowful because the friends never found each other again.,The novel's ending reported that the friends never found each other again.,Write one sad sentence about a novel ending where friends do not reunite.,Write one emotionally neutral sentence about a novel ending where friends do not reunite.,,fictional loss rather than personal event
sadness_04,sadness,loss,low,negative,The empty collar by the door made Sam's throat tighten with a dull sadness.,The empty collar by the door showed where the pet supplies were kept.,Write one sad sentence about seeing an empty pet collar by a door.,Write one emotionally neutral sentence about seeing an empty pet collar by a door.,,pet-loss cue; same object
