scenario_id,incidental_id,family,rater_id,rating_status,rating_pass,blinded_order,clear_favorite_blinded,clear_favorite,preference_strength_0_to_3,task_difficulty_difference_0_to_3,moral_valence_difference_0_to_3,helpfulness_norm_difference_0_to_3,length_or_detail_difference_0_to_3,construct_drift_flag,notes,rated_utc
ar_naming_parser,i0,AR,claude-fable-5-agent,agent_dual_code_provisional,1,pole0_first,none,none,1,0,0,1,0,0,"PEP8-style ecosystems mildly favor snake_case; the context never pins a language, so the norm is weak. No clear favorite.",2026-08-07T18:20:00Z
ar_naming_parser,i1,AR,claude-fable-5-agent,agent_dual_code_provisional,1,pole0_first,none,none,1,0,0,1,0,0,"PEP8-style ecosystems mildly favor snake_case; the context never pins a language, so the norm is weak. No clear favorite.",2026-08-07T18:20:00Z
ar_naming_parser,i2,AR,claude-fable-5-agent,agent_dual_code_provisional,1,pole0_first,none,none,1,0,0,1,0,0,"PEP8-style ecosystems mildly favor snake_case; the context never pins a language, so the norm is weak. No clear favorite.",2026-08-07T18:20:00Z
ar_naming_parser,i3,AR,claude-fable-5-agent,agent_dual_code_provisional,1,pole1_first,none,none,1,0,0,1,0,0,"PEP8-style ecosystems mildly favor snake_case; the context never pins a language, so the norm is weak. No clear favorite.",2026-08-07T18:20:00Z
ar_naming_parser,i4,AR,claude-fable-5-agent,agent_dual_code_provisional,1,pole1_first,none,none,1,0,0,1,0,0,"PEP8-style ecosystems mildly favor snake_case; the context never pins a language, so the norm is weak. No clear favorite.",2026-08-07T18:20:00Z
ar_naming_serializer,i0,AR,claude-fable-5-agent,agent_dual_code_provisional,1,pole0_first,none,none,1,0,0,1,0,0,Same weak snake_case ecosystem norm as ar_naming_parser.,2026-08-07T18:20:00Z
ar_naming_serializer,i1,AR,claude-fable-5-agent,agent_dual_code_provisional,1,pole0_first,none,none,1,0,0,1,0,0,Same weak snake_case ecosystem norm as ar_naming_parser.,2026-08-07T18:20:00Z
ar_naming_serializer,i2,AR,claude-fable-5-agent,agent_dual_code_provisional,1,pole1_first,none,none,1,0,0,1,0,0,Same weak snake_case ecosystem norm as ar_naming_parser.,2026-08-07T18:20:00Z
ar_naming_serializer,i3,AR,claude-fable-5-agent,agent_dual_code_provisional,1,pole0_first,none,none,1,0,0,1,0,0,Same weak snake_case ecosystem norm as ar_naming_parser.,2026-08-07T18:20:00Z
ar_naming_serializer,i4,AR,claude-fable-5-agent,agent_dual_code_provisional,1,pole1_first,none,none,1,0,0,1,0,0,Same weak snake_case ecosystem norm as ar_naming_parser.,2026-08-07T18:20:00Z
ar_naming_config,i0,AR,claude-fable-5-agent,agent_dual_code_provisional,1,pole1_first,none,none,1,0,0,1,0,0,Same weak snake_case ecosystem norm as ar_naming_parser.,2026-08-07T18:20:00Z
ar_naming_config,i1,AR,claude-fable-5-agent,agent_dual_code_provisional,1,pole1_first,none,none,1,0,0,1,0,0,Same weak snake_case ecosystem norm as ar_naming_parser.,2026-08-07T18:20:00Z
ar_naming_config,i2,AR,claude-fable-5-agent,agent_dual_code_provisional,1,pole0_first,none,none,1,0,0,1,0,0,Same weak snake_case ecosystem norm as ar_naming_parser.,2026-08-07T18:20:00Z
