scenario_id,semantic_side,ro_paraphrase,semantic_id,ar_wording_p0,ro_wording,rater_id,rating_status,rating_pass,equivalent,ambiguity_flag,notes,limitations
arb_component,a,0,parser_first,"Build the parser component first, then the serializer.",Start with the piece that reads external input into memory.,claude-fable-5-agent,agent_dual_code_provisional,1,1,0,maps uniquely to the semantic identity,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_component,a,1,parser_first,"Build the parser component first, then the serializer.",Write the input-reading piece before the output-writing one.,claude-fable-5-agent,agent_dual_code_provisional,1,1,0,maps uniquely to the semantic identity,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_component,b,0,serializer_first,"Build the serializer component first, then the parser.",Start with the piece that writes memory out to external form.,claude-fable-5-agent,agent_dual_code_provisional,1,1,0,maps uniquely to the semantic identity,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_component,b,1,serializer_first,"Build the serializer component first, then the parser.",Write the output-writing piece before the input-reading one.,claude-fable-5-agent,agent_dual_code_provisional,1,1,0,maps uniquely to the semantic identity,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_docsection,a,0,usage_first,"Draft the Usage section now, leaving Configuration for the next slot.",Write the chapter showing how the tool is invoked and what a first run looks like.,claude-fable-5-agent,agent_dual_code_provisional,1,1,0,maps uniquely to the semantic identity,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_docsection,a,1,usage_first,"Draft the Usage section now, leaving Configuration for the next slot.",Produce the walkthrough chapter that demonstrates running the tool.,claude-fable-5-agent,agent_dual_code_provisional,1,1,0,maps uniquely to the semantic identity,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_docsection,b,0,configuration_first,"Draft the Configuration section now, leaving Usage for the next slot.",Write the chapter listing the tool's settings and what each controls.,claude-fable-5-agent,agent_dual_code_provisional,1,1,0,maps uniquely to the semantic identity,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_docsection,b,1,configuration_first,"Draft the Configuration section now, leaving Usage for the next slot.",Produce the reference chapter that catalogs the tool's adjustable settings.,claude-fable-5-agent,agent_dual_code_provisional,1,1,0,maps uniquely to the semantic identity,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_execmode,a,0,single_batch,Process the whole backlog in one unattended batch pass.,Let the job run start to finish on its own in a single sweep.,claude-fable-5-agent,agent_dual_code_provisional,1,1,0,maps uniquely to the semantic identity,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_execmode,a,1,single_batch,Process the whole backlog in one unattended batch pass.,Kick off one uninterrupted pass and check back when it is done.,claude-fable-5-agent,agent_dual_code_provisional,1,1,0,maps uniquely to the semantic identity,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_execmode,b,0,interactive_stepwise,"Process the backlog interactively, stepping through it in stages.","Advance the job stage by stage, reviewing between stages.",claude-fable-5-agent,agent_dual_code_provisional,1,1,0,maps uniquely to the semantic identity,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_execmode,b,1,interactive_stepwise,"Process the backlog interactively, stepping through it in stages.",Move through the work a piece at a time with pauses to inspect.,claude-fable-5-agent,agent_dual_code_provisional,1,1,0,maps uniquely to the semantic identity,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_lint,a,0,import_order_first,"Clean the import-order violations first, then line length.",Clear the findings about how file headers arrange their included modules.,claude-fable-5-agent,agent_dual_code_provisional,1,1,0,maps uniquely to the semantic identity,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_lint,a,1,import_order_first,"Clean the import-order violations first, then line length.",First fix where the top-of-file inclusion statements sit relative to each other.,claude-fable-5-agent,agent_dual_code_provisional,1,1,0,maps uniquely to the semantic identity,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_lint,b,0,line_length_first,"Clean the line-length violations first, then import order.",Clear the findings about lines running past the width limit.,claude-fable-5-agent,agent_dual_code_provisional,1,1,0,maps uniquely to the semantic identity,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_lint,b,1,line_length_first,"Clean the line-length violations first, then import order.",First fix the statements that overrun the allowed column width.,claude-fable-5-agent,agent_dual_code_provisional,1,1,0,maps uniquely to the semantic identity,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_naming,a,0,snake_case,Name the helper's internal identifiers in snake_case: lowercase words joined by underscores.,Write new identifiers as lowercase words connected by underscore characters.,claude-fable-5-agent,agent_dual_code_provisional,1,1,0,maps uniquely to the semantic identity,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_naming,a,1,snake_case,Name the helper's internal identifiers in snake_case: lowercase words joined by underscores.,Compose names from small letters with underscores between the words.,claude-fable-5-agent,agent_dual_code_provisional,1,1,0,maps uniquely to the semantic identity,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
arb_naming,b,0,camel_case,Name the helper's internal identifiers in camelCase: joined words with capitals marking boundaries.,"Write new identifiers as words fused together, capitalizing each interior word.",claude-fable-5-agent,agent_dual_code_provisional,1,1,0,maps uniquely to the semantic identity,authorship-limited blinding (rater = author); rater has read the frozen Phase 1 record; PI ratings supersede
