statement_id,family,statement,label,meta
mis_t_00,misconceptions,"Humans use virtually all of their brain, just not all at once.",1,brain10|science
mis_f_00,misconceptions,Humans use only ten percent of their brains.,0,brain10|science
mis_t_01,misconceptions,The Great Wall of China is not visible to the naked eye from orbit.,1,great_wall|trivia
mis_f_01,misconceptions,The Great Wall of China is visible from space with the naked eye.,0,great_wall|trivia
mis_t_02,misconceptions,Goldfish can remember things for weeks or months.,1,goldfish|trivia
mis_f_02,misconceptions,Goldfish have a memory span of only three seconds.,0,goldfish|trivia
mis_t_03,misconceptions,Lightning often strikes the same place repeatedly.,1,lightning|science
mis_f_03,misconceptions,Lightning never strikes the same place twice.,0,lightning|science
mis_t_04,misconceptions,All taste qualities can be detected across the whole tongue.,1,tongue_map|science
mis_f_04,misconceptions,Different areas of the tongue detect different tastes.,0,tongue_map|science
mis_t_05,misconceptions,"Diamonds form from carbon in the mantle, not from coal.",1,diamonds|science
mis_f_05,misconceptions,Diamonds are formed from compressed coal.,0,diamonds|science
mis_t_06,misconceptions,Blood is always red; veins only look blue through skin.,1,blood_blue|science
mis_f_06,misconceptions,Deoxygenated blood in your veins is blue.,0,blood_blue|science
mis_t_07,misconceptions,"Bats can see, and many rely on vision as well as echolocation.",1,bats_blind|science
mis_f_07,misconceptions,Bats are blind and navigate only by sonar.,0,bats_blind|science
mis_t_08,misconceptions,Controlled studies find no link between sugar and hyperactivity.,1,sugar_hyper|science
mis_f_08,misconceptions,Eating sugar makes children hyperactive.,0,sugar_hyper|science
mis_t_09,misconceptions,Napoleon was about average height for a Frenchman of his era.,1,napoleon|history
mis_f_09,misconceptions,Napoleon was unusually short for his time.,0,napoleon|history
mis_t_10,misconceptions,There is no evidence that Vikings wore horned helmets in battle.,1,vikings|history
mis_f_10,misconceptions,Viking warriors wore horned helmets into battle.,0,vikings|history
mis_t_11,misconceptions,Einstein excelled at mathematics from a young age.,1,einstein_math|history
mis_f_11,misconceptions,Einstein failed mathematics as a student.,0,einstein_math|history
mis_t_12,misconceptions,"Those convicted at Salem were hanged, not burned.",1,salem_burn|history
mis_f_12,misconceptions,The Salem witch trials burned the convicted at the stake.,0,salem_burn|history
mis_t_13,misconceptions,Educated medieval people knew the Earth was round.,1,columbus_flat|history
