example_id,category,prompt,target,distractor,note
rel_capital_of_france_hard,fact,The capital of France is, Paris, Rome,relation=capital_of; distractor_class=same (instance discrimination)
rel_capital_of_france_easy,fact,The capital of France is, Paris, hammer,relation=capital_of; distractor_class=cross (class discrimination)
rel_capital_of_japan_hard,fact,The capital of Japan is, Tokyo, Berlin,relation=capital_of; distractor_class=same (instance discrimination)
rel_capital_of_japan_easy,fact,The capital of Japan is, Tokyo, hammer,relation=capital_of; distractor_class=cross (class discrimination)
rel_capital_of_germany_hard,fact,The capital of Germany is, Berlin, Vienna,relation=capital_of; distractor_class=same (instance discrimination)
rel_capital_of_germany_easy,fact,The capital of Germany is, Berlin, hammer,relation=capital_of; distractor_class=cross (class discrimination)
rel_capital_of_italy_hard,fact,The capital of Italy is, Rome, Athens,relation=capital_of; distractor_class=same (instance discrimination)
rel_capital_of_italy_easy,fact,The capital of Italy is, Rome, hammer,relation=capital_of; distractor_class=cross (class discrimination)
rel_capital_of_spain_hard,fact,The capital of Spain is, Madrid, Paris,relation=capital_of; distractor_class=same (instance discrimination)
rel_capital_of_spain_easy,fact,The capital of Spain is, Madrid, hammer,relation=capital_of; distractor_class=cross (class discrimination)
rel_capital_of_russia_hard,fact,The capital of Russia is, Moscow, Berlin,relation=capital_of; distractor_class=same (instance discrimination)
rel_capital_of_russia_easy,fact,The capital of Russia is, Moscow, hammer,relation=capital_of; distractor_class=cross (class discrimination)
rel_capital_of_egypt_hard,fact,The capital of Egypt is, Cairo, Athens,relation=capital_of; distractor_class=same (instance discrimination)
rel_capital_of_egypt_easy,fact,The capital of Egypt is, Cairo, hammer,relation=capital_of; distractor_class=cross (class discrimination)
rel_capital_of_austria_hard,fact,The capital of Austria is, Vienna, Madrid,relation=capital_of; distractor_class=same (instance discrimination)
rel_capital_of_austria_easy,fact,The capital of Austria is, Vienna, hammer,relation=capital_of; distractor_class=cross (class discrimination)
rel_country_language_france_hard,fact,The official language of France is, French, German,relation=country_language; distractor_class=same (instance discrimination)
rel_country_language_france_easy,fact,The official language of France is, French, blue,relation=country_language; distractor_class=cross (class discrimination)
rel_country_language_japan_hard,fact,The official language of Japan is, Japanese, Korean,relation=country_language; distractor_class=same (instance discrimination)
rel_country_language_japan_easy,fact,The official language of Japan is, Japanese, blue,relation=country_language; distractor_class=cross (class discrimination)
rel_country_language_germany_hard,fact,"In Germany, most people speak", German, Dutch,relation=country_language; distractor_class=same (instance discrimination)
rel_country_language_germany_easy,fact,"In Germany, most people speak", German, blue,relation=country_language; distractor_class=cross (class discrimination)
rel_country_language_italy_hard,fact,The official language of Italy is, Italian, Spanish,relation=country_language; distractor_class=same (instance discrimination)
rel_country_language_italy_easy,fact,The official language of Italy is, Italian, blue,relation=country_language; distractor_class=cross (class discrimination)
rel_country_language_spain_hard,fact,"In Spain, most people speak", Spanish, Portuguese,relation=country_language; distractor_class=same (instance discrimination)
rel_country_language_spain_easy,fact,"In Spain, most people speak", Spanish, blue,relation=country_language; distractor_class=cross (class discrimination)
rel_country_language_russia_hard,fact,The official language of Russia is, Russian, Polish,relation=country_language; distractor_class=same (instance discrimination)
rel_country_language_russia_easy,fact,The official language of Russia is, Russian, blue,relation=country_language; distractor_class=cross (class discrimination)
