target_id,description,frozen_value,reconstructed_value,method,status,source_paths,notes
qwen-structural-A120->A250-task-q50,"A120->A250 conservative task-row direction-cosine q50 (assay L20-L44 median, min over answer/bridge/shared strata); gate >=0.95",0.9952232241630554,0.9952232241630554,recomputed_from_registered_rows_independent,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/phase4_20260731/metrics/qwen36-27b-lens-convergence/lens_convergence/p4-qwen-lens-convergence-drawA-n120-n250-dev-v1/layer_comparison_metrics.csv;/content/drive/MyDrive/interpret/special-lab-1/phase4_20260731/metrics/qwen36-27b-lens-convergence/lens_convergence/p4-qwen-lens-convergence-drawA-n120-n250-dev-v1/convergence_result.json,gate PASS; registered aggregate 0.9952232241630554; row-level medians recomputed over 25 layers x 3 task strata
qwen-structural-A120->A250-task-q05,"A120->A250 conservative task-row direction-cosine q05 (assay L20-L44 median, min over answer/bridge/shared strata); gate >=0.9",0.9930787086486816,0.9930787086486816,recomputed_from_registered_rows_independent,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/phase4_20260731/metrics/qwen36-27b-lens-convergence/lens_convergence/p4-qwen-lens-convergence-drawA-n120-n250-dev-v1/layer_comparison_metrics.csv;/content/drive/MyDrive/interpret/special-lab-1/phase4_20260731/metrics/qwen36-27b-lens-convergence/lens_convergence/p4-qwen-lens-convergence-drawA-n120-n250-dev-v1/convergence_result.json,gate PASS; registered aggregate 0.9930787086486816; row-level medians recomputed over 25 layers x 3 task strata
qwen-structural-A250->A500-task-q50,"A250->A500 conservative task-row direction-cosine q50 (assay L20-L44 median, min over answer/bridge/shared strata); gate >=0.95",0.9977147579193115,0.9977147579193115,recomputed_from_registered_rows_independent,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/phase4_20260731/metrics/qwen36-27b-lens-convergence-a250-a500/lens_convergence/p4-qwen-lens-convergence-drawA-n250-n500-dev-v1/layer_comparison_metrics.csv;/content/drive/MyDrive/interpret/special-lab-1/phase4_20260731/metrics/qwen36-27b-lens-convergence-a250-a500/lens_convergence/p4-qwen-lens-convergence-drawA-n250-n500-dev-v1/convergence_result.json,gate PASS; registered aggregate 0.9977147579193115; row-level medians recomputed over 25 layers x 3 task strata
qwen-structural-A250->A500-task-q05,"A250->A500 conservative task-row direction-cosine q05 (assay L20-L44 median, min over answer/bridge/shared strata); gate >=0.9",0.9968382120132446,0.9968382120132446,recomputed_from_registered_rows_independent,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/phase4_20260731/metrics/qwen36-27b-lens-convergence-a250-a500/lens_convergence/p4-qwen-lens-convergence-drawA-n250-n500-dev-v1/layer_comparison_metrics.csv;/content/drive/MyDrive/interpret/special-lab-1/phase4_20260731/metrics/qwen36-27b-lens-convergence-a250-a500/lens_convergence/p4-qwen-lens-convergence-drawA-n250-n500-dev-v1/convergence_result.json,gate PASS; registered aggregate 0.9968382120132446; row-level medians recomputed over 25 layers x 3 task strata
qwen-structural-A500->A1000-task-q50,"A500->A1000 conservative task-row direction-cosine q50 (assay L20-L44 median, min over answer/bridge/shared strata); gate >=0.95",0.998702,0.9987020492553711,recomputed_from_registered_rows_independent,numerically_identical_render_diff,/content/drive/MyDrive/interpret/special-lab-1/phase4_20260731/metrics/qwen36-27b-lens-convergence-a500-a1000/lens_convergence/p4-qwen-lens-convergence-drawA-n500-n1000-dev-v1/layer_comparison_metrics.csv;/content/drive/MyDrive/interpret/special-lab-1/phase4_20260731/metrics/qwen36-27b-lens-convergence-a500-a1000/lens_convergence/p4-qwen-lens-convergence-drawA-n500-n1000-dev-v1/convergence_result.json,gate PASS; registered aggregate 0.9987020492553711; row-level medians recomputed over 25 layers x 3 task strata
qwen-structural-A500->A1000-task-q05,"A500->A1000 conservative task-row direction-cosine q05 (assay L20-L44 median, min over answer/bridge/shared strata); gate >=0.9",0.998122,0.9981223940849304,recomputed_from_registered_rows_independent,numerically_identical_render_diff,/content/drive/MyDrive/interpret/special-lab-1/phase4_20260731/metrics/qwen36-27b-lens-convergence-a500-a1000/lens_convergence/p4-qwen-lens-convergence-drawA-n500-n1000-dev-v1/layer_comparison_metrics.csv;/content/drive/MyDrive/interpret/special-lab-1/phase4_20260731/metrics/qwen36-27b-lens-convergence-a500-a1000/lens_convergence/p4-qwen-lens-convergence-drawA-n500-n1000-dev-v1/convergence_result.json,gate PASS; registered aggregate 0.9981223940849304; row-level medians recomputed over 25 layers x 3 task strata
qwen-functional-A500->A1000-selected_id_jaccard_median,A500->A1000 functional gate selected_id_jaccard_median over a500_vs_a1000; frozen floor/gate >=0.75,0.538462,0.5384615384615384,recomputed_from_registered_rows_independent,numerically_identical_render_diff,/content/drive/MyDrive/interpret/special-lab-1/phase4_20260731/metrics/qwen36-27b-multilens-functional-gate-a500-a1000/functional_gate/p4-qwen-multilens-functional-gate-a500-a1000-published-dev-v1/functional_gate_result.json,gate FAIL (registered boolean False); registered 0.5384615384615384; n_positions=17381
qwen-functional-A500->A1000-normalized_projector_overlap_median,A500->A1000 functional gate normalized_projector_overlap_median over a500_vs_a1000; frozen floor/gate >=0.85,0.709818,0.7098178863525391,recomputed_from_registered_rows_independent,numerically_identical_render_diff,/content/drive/MyDrive/interpret/special-lab-1/phase4_20260731/metrics/qwen36-27b-multilens-functional-gate-a500-a1000/functional_gate/p4-qwen-multilens-functional-gate-a500-a1000-published-dev-v1/functional_gate_result.json,gate FAIL (registered boolean False); registered 0.7098178863525391; n_positions=17381
qwen-functional-A500->A1000-bridge_rescue_difference_nats,A500->A1000 functional gate bridge_rescue_difference_nats over a500_vs_a1000; frozen floor/gate abs<=0.25 and same rescue sign,-0.294028,-0.2940282352268696,recomputed_from_registered_rows_independent,numerically_identical_render_diff,/content/drive/MyDrive/interpret/special-lab-1/phase4_20260731/metrics/qwen36-27b-multilens-functional-gate-a500-a1000/functional_gate/p4-qwen-multilens-functional-gate-a500-a1000-published-dev-v1/functional_gate_result.json,gate FAIL (registered boolean False); registered -0.2940282352268696; n_positions=17381
qwen-functional-aggregate-endpoints-stable-across-fits,"Occupancy, centered excess, span-safe specificity, tail rate, G4, and bridge preference pass at every fit boundary (A120->A250, A250->A500, A500->A1000)",stable across fits,all-pass=True,recomputed_from_registered_rows_independent,byte_identical,/content/drive/MyDrive/interpret/special-lab-1/phase4_20260731/metrics,gate booleans recomputed from row-level parquets and verified against every registered functional_gate_result.json; bridge_rescue passes only at A120->A250 and fails at the two later boundaries; jaccard + overlap fail at every boundary
