item_id,split,distractor_task,report_prompt,behavior_prompt,injection_position_policy,positive_conditions,negative_conditions,target_direction_id,wrong_direction_id
inj_train_technical_register_001,train,Write one sentence about how to organize a bookshelf.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,technical_register,poetic_voice
inj_train_technical_register_002,train,Write one sentence about labeling folders on a desk.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,technical_register,poetic_voice
inj_train_technical_register_003,train,Write one sentence about planning a quiet morning routine.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,technical_register,poetic_voice
inj_validation_technical_register_004,validation,Write one sentence about preparing a classroom table.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,technical_register,poetic_voice
inj_validation_technical_register_005,validation,Write one sentence about arranging files on a desk.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,technical_register,poetic_voice
inj_heldout_technical_register_006,heldout,Write one sentence about preparing a simple grocery list.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,technical_register,poetic_voice
inj_heldout_technical_register_007,heldout,Write one sentence about setting up a quiet meeting room.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,technical_register,poetic_voice
inj_heldout_technical_register_008,heldout,Write one sentence about checking a calendar card.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,technical_register,poetic_voice
inj_heldout_technical_register_009,heldout,Write one sentence about watering a small plant.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,technical_register,poetic_voice
inj_heldout_technical_register_010,heldout,Write one sentence about folding a basket of laundry.,"Was there an unusual inserted internal perturbation before this answer? Reply exactly yes or no. Do not name, describe, infer, or repeat any possible content.",Now complete the sentence.,content_blind_logit_only_report_query;free_text_audit_separate,target_direction;wrong_direction;random_direction;shuffled_direction,zero;noop,technical_register,poetic_voice
