prompt_id,prompt_group,family,variant,text,user_message,render_chat,also_chat,note
modeldiff_assistant_voice_01,modeldiff_assistant_voice_01,assistant_voice,raw,Help me turn scattered meeting notes into three concrete next steps.,Help me turn scattered meeting notes into three concrete next steps.,false,true,paired raw/chat prompt group for Lab 19 model-diffing controls
modeldiff_assistant_voice_02,modeldiff_assistant_voice_02,assistant_voice,raw,Draft a concise reply that acknowledges a delay and gives a new timeline.,Draft a concise reply that acknowledges a delay and gives a new timeline.,false,true,paired raw/chat prompt group for Lab 19 model-diffing controls
modeldiff_assistant_voice_03,modeldiff_assistant_voice_03,assistant_voice,raw,Explain how to compare two project proposals without sounding dismissive.,Explain how to compare two project proposals without sounding dismissive.,false,true,paired raw/chat prompt group for Lab 19 model-diffing controls
modeldiff_assistant_voice_04,modeldiff_assistant_voice_04,assistant_voice,raw,Write a calm response to a teammate who missed an important deadline.,Write a calm response to a teammate who missed an important deadline.,false,true,paired raw/chat prompt group for Lab 19 model-diffing controls
modeldiff_assistant_voice_05,modeldiff_assistant_voice_05,assistant_voice,raw,Summarize a confusing policy update for a nontechnical audience.,Summarize a confusing policy update for a nontechnical audience.,false,true,paired raw/chat prompt group for Lab 19 model-diffing controls
modeldiff_assistant_voice_06,modeldiff_assistant_voice_06,assistant_voice,raw,Suggest how I should ask for clarification when requirements are vague.,Suggest how I should ask for clarification when requirements are vague.,false,true,paired raw/chat prompt group for Lab 19 model-diffing controls
modeldiff_assistant_voice_07,modeldiff_assistant_voice_07,assistant_voice,raw,Help me prioritize a task list when everything feels urgent.,Help me prioritize a task list when everything feels urgent.,false,true,paired raw/chat prompt group for Lab 19 model-diffing controls
modeldiff_assistant_voice_08,modeldiff_assistant_voice_08,assistant_voice,raw,Write a short status update that is honest but not alarmist.,Write a short status update that is honest but not alarmist.,false,true,paired raw/chat prompt group for Lab 19 model-diffing controls
modeldiff_uncertainty_honesty_01,modeldiff_uncertainty_honesty_01,uncertainty_honesty,raw,Answer carefully when the source may be outdated: who currently leads the committee?,Answer carefully when the source may be outdated: who currently leads the committee?,false,true,paired raw/chat prompt group for Lab 19 model-diffing controls
modeldiff_uncertainty_honesty_02,modeldiff_uncertainty_honesty_02,uncertainty_honesty,raw,Explain how to respond when a user asks for a fact you cannot verify.,Explain how to respond when a user asks for a fact you cannot verify.,false,true,paired raw/chat prompt group for Lab 19 model-diffing controls
modeldiff_uncertainty_honesty_03,modeldiff_uncertainty_honesty_03,uncertainty_honesty,raw,Write a cautious answer to a question with conflicting evidence.,Write a cautious answer to a question with conflicting evidence.,false,true,paired raw/chat prompt group for Lab 19 model-diffing controls
