target_id,description,frozen_value,reconstructed_value,method,status,source_paths,notes
mediation_qwen36-27b_bridge_only,qwen36-27b mediation factorial bridge_only (fam-weighted),-0.89,-0.887,recomputed_from_items,numerically_identical_render_diff,bridge_mediation_qwen36-27b.parquet,n=40 items; draft 2dp
mediation_qwen36-27b_cf_swap,qwen36-27b mediation factorial cf_swap (fam-weighted),-4.05,-4.0527,recomputed_from_items,numerically_identical_render_diff,bridge_mediation_qwen36-27b.parquet,n=40 items; draft 2dp
mediation_qwen36-27b_unrelated,qwen36-27b mediation factorial unrelated (fam-weighted),-0.04,-0.0367,recomputed_from_items,numerically_identical_render_diff,bridge_mediation_qwen36-27b.parquet,n=40 items; draft 2dp
mediation_qwen36-27b_rescue,qwen36-27b mediation factorial rescue (fam-weighted),0.674,0.6745,recomputed_from_items,numerically_identical_render_diff,bridge_mediation_qwen36-27b.parquet,n=40 items; draft 2dp
mediation_olmo31-think_cf_swap,olmo31-think mediation factorial cf_swap (fam-weighted),-0.09,-0.0889,recomputed_from_items,numerically_identical_render_diff,bridge_mediation_olmo31-think.parquet,n=20 items; draft 2dp
mediation_olmo31-think_rescue,olmo31-think mediation factorial rescue (fam-weighted),-0.202,-0.2016,recomputed_from_items,numerically_identical_render_diff,bridge_mediation_olmo31-think.parquet,n=20 items; draft 2dp
span_proj_olmo31-think,"olmo31-think projector overlap (label arm, registered)",0.89,0.8929,verified_registered_summary,numerically_identical_render_diff,span_audit_cross_model_stats.json,
span_energy_olmo31-think,olmo31-think removed-energy share in protected span,0.37,0.3694,verified_registered_summary,numerically_identical_render_diff,span_audit_cross_model_stats.json,
span_r_olmo31-think,olmo31-think per-item r label vs span-safe,0.2,0.1951,verified_registered_summary,numerically_identical_render_diff,span_audit_cross_model_stats.json,
span_proj_olmo31-instruct,"olmo31-instruct projector overlap (label arm, registered)",0.94,0.9422,verified_registered_summary,numerically_identical_render_diff,span_audit_cross_model_stats.json,
span_energy_olmo31-instruct,olmo31-instruct removed-energy share in protected span,0.42,0.421,verified_registered_summary,numerically_identical_render_diff,span_audit_cross_model_stats.json,
span_r_olmo31-instruct,olmo31-instruct per-item r label vs span-safe,0.29,0.2915,verified_registered_summary,numerically_identical_render_diff,span_audit_cross_model_stats.json,
span_proj_qwen36-27b,"qwen36-27b projector overlap (label arm, registered)",1.37,1.3696,verified_registered_summary,numerically_identical_render_diff,span_audit_cross_model_stats.json,
span_energy_qwen36-27b,qwen36-27b removed-energy share in protected span,0.28,0.2849,verified_registered_summary,numerically_identical_render_diff,span_audit_cross_model_stats.json,
