pair_key,scenario_id,family,ar_frame,both_valid,agree_content,ar_pole1,ro_pole1,ar_margin,ro_margin
ar_component_library|i0|o0|letters|c0,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-1.4999998360872482,-0.3750004768370445
ar_component_library|i0|o0|letters|c1,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-2.4999996870757286,-1.2499998509884094
ar_component_library|i0|o0|numbers|c0,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-1.3749999254942011,-0.3750002384185507
ar_component_library|i0|o0|numbers|c1,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-2.3750000447034836,-1.2499998807907176
ar_component_library|i0|o1|letters|c0,ar_component_library,AR,enacted,1,0.0,1.0,0.0,0.8749983608742582,-0.375
ar_component_library|i0|o1|letters|c1,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-0.3750004768369948,-1.2500000298023224
ar_component_library|i0|o1|numbers|c0,ar_component_library,AR,enacted,1,0.0,1.0,0.0,0.6249997019768614,-0.3750002384185507
ar_component_library|i0|o1|numbers|c1,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-0.6250002384185294,-1.3749999403953765
ar_component_library|i1|o0|letters|c0,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-1.3749998658895706,-0.1250003576278118
ar_component_library|i1|o0|letters|c1,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-2.624999351799886,-1.624999821186087
ar_component_library|i1|o0|numbers|c0,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-1.2499998509883952,-0.12500023841855068
ar_component_library|i1|o0|numbers|c1,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-2.74999976903203,-1.7499998807907176
ar_component_library|i1|o1|letters|c0,ar_component_library,AR,enacted,1,0.0,1.0,0.0,0.6249897182559607,-0.37500011920926823
ar_component_library|i1|o1|letters|c1,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-0.7500023841826149,-1.6249998807907318
ar_component_library|i1|o1|numbers|c0,ar_component_library,AR,enacted,1,0.0,1.0,0.0,0.4999990463263373,-0.5000001490116048
ar_component_library|i1|o1|numbers|c1,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-1.000000774860041,-1.749999821186087
ar_component_library|i2|o0|letters|c0,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-1.6250000149011612,-4.768370445162873e-07
ar_component_library|i2|o0|letters|c1,ar_component_library,AR,enacted,1,1.0,0.0,0.0,-2.7499998137355988,-1.6249998658895706
