example_id,category,prompt,target,distractor,note
rel_capital_of_france,fact,The capital of France is, Paris, Rome,relation=capital_of; easy_distractor=hammer
rel_capital_of_japan,fact,The capital of Japan is, Tokyo, Berlin,relation=capital_of; easy_distractor=hammer
rel_capital_of_germany,fact,The capital of Germany is, Berlin, Vienna,relation=capital_of; easy_distractor=hammer
rel_capital_of_italy,fact,The capital of Italy is, Rome, Athens,relation=capital_of; easy_distractor=hammer
rel_capital_of_spain,fact,The capital of Spain is, Madrid, Paris,relation=capital_of; easy_distractor=hammer
rel_capital_of_russia,fact,The capital of Russia is, Moscow, Berlin,relation=capital_of; easy_distractor=hammer
rel_capital_of_egypt,fact,The capital of Egypt is, Cairo, Athens,relation=capital_of; easy_distractor=hammer
rel_capital_of_austria,fact,The capital of Austria is, Vienna, Madrid,relation=capital_of; easy_distractor=hammer
rel_country_language_france,fact,The official language of France is, French, German,relation=country_language; easy_distractor=blue
rel_country_language_japan,fact,The official language of Japan is, Japanese, Korean,relation=country_language; easy_distractor=blue
rel_country_language_germany,fact,"In Germany, most people speak", German, Dutch,relation=country_language; easy_distractor=blue
rel_country_language_italy,fact,The official language of Italy is, Italian, Spanish,relation=country_language; easy_distractor=blue
rel_country_language_spain,fact,"In Spain, most people speak", Spanish, Portuguese,relation=country_language; easy_distractor=blue
rel_country_language_russia,fact,The official language of Russia is, Russian, Polish,relation=country_language; easy_distractor=blue
rel_country_language_egypt,fact,"In Egypt, most people speak", Arabic, Greek,relation=country_language; easy_distractor=blue
rel_country_language_brazil,fact,"In Brazil, most people speak", Portuguese, Spanish,relation=country_language; easy_distractor=blue
rel_country_language_greece,fact,The official language of Greece is, Greek, Italian,relation=country_language; easy_distractor=blue
rel_country_language_korea,fact,"In South Korea, most people speak", Korean, Japanese,relation=country_language; easy_distractor=blue
rel_antonym_hot,fact,The opposite of hot is, cold, cool,relation=antonym; easy_distractor=Paris
rel_antonym_big,fact,The opposite of big is, small, short,relation=antonym; easy_distractor=Paris
rel_antonym_fast,fact,The opposite of fast is, slow, still,relation=antonym; easy_distractor=Paris
rel_antonym_light,fact,The opposite of light is, dark, dim,relation=antonym; easy_distractor=Paris
rel_antonym_up,fact,The opposite of up is, down, low,relation=antonym; easy_distractor=Paris
rel_antonym_happy,fact,The opposite of happy is, sad, angry,relation=antonym; easy_distractor=Paris
rel_antonym_loud,fact,The opposite of loud is, quiet, soft,relation=antonym; easy_distractor=Paris; near_tie=1 (two plausible answers by design)
rel_antonym_hard,fact,The opposite of hard is, soft, smooth,relation=antonym; easy_distractor=Paris
rel_antonym_wet,fact,The opposite of wet is, dry, cold,relation=antonym; easy_distractor=Paris
rel_antonym_strong,fact,The opposite of strong is, weak, small,relation=antonym; easy_distractor=Paris
rel_object_color_sky,fact,"On a clear day, the sky is", blue, gray,relation=object_color; easy_distractor=Tuesday
rel_object_color_grass,fact,Healthy summer grass is, green, yellow,relation=object_color; easy_distractor=Tuesday
rel_object_color_snow,fact,Freshly fallen snow is, white, blue,relation=object_color; easy_distractor=Tuesday
rel_object_color_blood,fact,The color of blood is, red, brown,relation=object_color; easy_distractor=Tuesday
rel_object_color_coal,fact,The color of coal is, black, gray,relation=object_color; easy_distractor=Tuesday
rel_object_color_banana,fact,A ripe banana is, yellow, green,relation=object_color; easy_distractor=Tuesday
rel_object_color_milk,fact,The color of fresh milk is, white, yellow,relation=object_color; easy_distractor=Tuesday
rel_object_color_night,fact,"At midnight, the cloudless sky looks", black, blue,relation=object_color; easy_distractor=Tuesday; near_tie=1 (two plausible answers by design)
rel_category_member_salmon,fact,A salmon is a kind of, fish, snake,relation=category_member; easy_distractor=four
rel_category_member_oak,fact,An oak is a kind of, tree, flower,relation=category_member; easy_distractor=four
rel_category_member_rose,fact,A rose is a kind of, flower, tree,relation=category_member; easy_distractor=four
